_id,_labels,Ensembl,diseaseID,drugID,gene_count,id,name,ncbiID,source,subcellular_loc,_start,_end,_type,score,source.1,type,atcClassification,class,uniprotID
20699,:Drug,,,DB06603,,CHEMBL483254,PANOBINOSTAT,,OpenTargets,,,,,,,,"L01XH03,L01XH,L01X,L01,L,Drug",,
20700,:Drug,,,DB06176,,CHEMBL343448,ROMIDEPSIN,,OpenTargets,,,,,,,,"L01XH02,L01XH,L01X,L01,L,Drug",,
20701,:Drug,,,DB05015,,CHEMBL408513,BELINOSTAT,,OpenTargets,,,,,,,,"L01XH04,L01XH,L01X,L01,L,Drug",,
20703,:Drug,,,DB12565,,CHEMBL2103863,ABEXINOSTAT,,OpenTargets,,,,,,,,Drug,,
20704,:Drug,,,DB11841,,CHEMBL27759,ENTINOSTAT,,OpenTargets,,,,,,,,"L01XH05,L01XH,L01X,L01,L,Drug",,
20705,:Drug,,,DB12291,,CHEMBL235191,TACEDINALINE,,OpenTargets,,,,,,,,Drug,,
20706,:Drug,,,DB11830,,CHEMBL272980,MOCETINOSTAT,,OpenTargets,,,,,,,,Drug,,
20707,:Protein,ENSG00000111906,,,,ENSG00000111906,HDDC2,51020,BridgeDB,,,,,,,,,,
20709,:Protein,ENSG00000127311,,,,ENSG00000127311,HELB,92797,BridgeDB,,,,,,,,,,
20715,:Protein,ENSG00000119969,,,,ENSG00000119969,HELLS,3070,BridgeDB,,,,,,,,,,
20716,:Disease,,C0398788,,,C0398788,"Immunodeficiency syndrome, variable",,DisGeNET,,,,,,,,,,
20717,:Disease,,C4310798,,,C4310798,IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 4,,DisGeNET,,,,,,,,,,
20723,:Protein,ENSG00000165478,,,,ENSG00000165478,HEPACAM,220296,BridgeDB,,,,,,,,,,
20724,:Disease,,C1854416,,,C1854416,MACROCEPHALY/AUTISM SYNDROME,,DisGeNET,,,,,,,,,,
20725,:Disease,,C3151355,,,C3151355,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2A,,DisGeNET,,,,,,,,,,
20726,:Disease,,C3151356,,,C3151356,"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION",,DisGeNET,,,,,,,,,,
20727,:Disease,,C1858854,,,C1858854,MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS,,DisGeNET,,,,,,,,,,
20729,:Protein,ENSG00000181333,,,,ENSG00000181333,HEPHL1,341208,BridgeDB,,,,,,,,,,
20730,:Disease,,C1849811,,,C1849811,Pili torti developmental delay neurological abnormalities,,DisGeNET,,,,,,,,,,
20733,:Protein,ENSG00000138646,,,,ENSG00000138646,HERC5,51191,BridgeDB,,,,,,,,,,
20741,:Protein,ENSG00000163666,,,,ENSG00000163666,HESX1,8820,BridgeDB,,,,,,,,,,
20742,:Disease,,C0338503,,,C0338503,Septo-Optic Dysplasia,,DisGeNET,,,,,,,,,,
20743,:Disease,,C2751608,,,C2751608,"Pituitary Hormone Deficiency, Combined, 1",,DisGeNET,,,,,,,,,,
20744,:Disease,,C0162809,,,C0162809,Kallmann Syndrome,,DisGeNET,,,,,,,,,,
20745,:Disease,,C0338502,,,C0338502,Hypoplasia of the optic nerve,,DisGeNET,,,,,,,,,,
20746,:Disease,,C2930844,,,C2930844,Hypopituitarism and septooptic 'dysplasia',,DisGeNET,,,,,,,,,,
20755,:Protein,ENSG00000168517,,,,ENSG00000168517,HEXIM2,124790,BridgeDB,,,,,,,,,,
20759,:Protein,ENSG00000175202,,,,ENSG00000175202,HIGD2B,123346,BridgeDB,,,,,,,,,,
20760,:Protein,ENSG00000135245,,,,ENSG00000135245,HILPDA,29923,BridgeDB,,,,,,,,,,
20763,:Protein,ENSG00000169567,,,,ENSG00000169567,HINT1,3094,BridgeDB,,,,,,,,,,
20764,:Disease,,C0242287,,,C0242287,Isaacs syndrome,,DisGeNET,,,,,,,,,,
20765,:Disease,,C0026848,,,C0026848,Myopathy,,DisGeNET,,,,,,,,,,
20766,:Disease,,C2932678,,,C2932678,Inherited Peripheral Neuropathy,,DisGeNET,,,,,,,,,,
20767,:Disease,,C0751919,,,C0751919,Acquired Neuromyotonia,,DisGeNET,,,,,,,,,,
20768,:Disease,,C4521481,,,C4521481,Pseudomyotonia (finding),,DisGeNET,,,,,,,,,,
20774,:Protein,ENSG00000111911,,,,ENSG00000111911,HINT3,135114,BridgeDB,,,,,,,,,,
20775,:Protein,ENSG00000156515,,,,ENSG00000156515,HK1,3098,BridgeDB,,,,,,,,,,
20776,:Disease,,C3150343,,,C3150343,"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY",,DisGeNET,,,,,,,,,,
20777,:Disease,,C1854449,,,C1854449,"Neuropathy, hereditary motor and sensory, Russe type",,DisGeNET,,,,,,,,,,
20778,:Disease,,C4479526,,,C4479526,RETINITIS PIGMENTOSA 79,,DisGeNET,,,,,,,,,,
20779,:Disease,,C0004134,,,C0004134,Ataxia,,DisGeNET,,,,,,,,,,
20780,:Disease,,C0037822,,,C0037822,Speech Disorders,,DisGeNET,,,,,,,,,,
20781,:Disease,,C0557874,,,C0557874,Global developmental delay,,DisGeNET,,,,,,,,,,
20782,:Disease,,C0852413,,,C0852413,Abnormal muscle tone,,DisGeNET,,,,,,,,,,
20783,:Disease,,C3665347,,,C3665347,Visual Impairment,,DisGeNET,,,,,,,,,,
20784,:Disease,,C0472792,,,C0472792,Hemolytic anemia due to hexokinase deficiency,,DisGeNET,,,,,,,,,,
20803,:Protein,ENSG00000256269,,,,ENSG00000256269,HMBS,3145,BridgeDB,,,,,,,,,,
20804,:Disease,,C0162565,,,C0162565,Acute intermittent porphyria,,DisGeNET,,,,,,,,,,
20805,:Disease,,C2936779,,,C2936779,Hydroxymethylbilane Synthase Deficiency,,DisGeNET,,,,,,,,,,
20808,:Protein,ENSG00000216753,,,,ENSG00000216753,HMGA1P7,,BridgeDB,,,,,,,,,,
20809,:Protein,ENSG00000251557,,,,ENSG00000251557,HNRNPKP3,399881,BridgeDB,,,,,,,,,,
