,dbID,atcClassification,id
13386,DB15467,Drug,CHEMBL2104045
13387,DB15468,Drug,CHEMBL2103813
13388,DB15469,Drug,
13389,DB15470,Drug,
13390,DB15471,Drug,
13391,DB15472,Drug,
13392,DB15473,Drug,
13393,DB15474,Drug,
13394,DB15475,Drug,
13395,DB15476,Drug,
13396,DB15477,Drug,CHEMBL497001
13397,DB15478,Drug,
13398,DB15479,Drug,
13399,DB15480,Drug,CHEMBL1593874
13400,DB15481,Drug,
13401,DB15482,Drug,
13402,DB15483,Drug,
13403,DB15484,Drug,
13404,DB15485,Drug,
13405,DB15486,Drug,
13406,DB15487,Drug,
13407,DB15488,Drug,CHEMBL510539
13408,DB15489,"N05BA25,N05BA,N05B,N05,N,Drug",CHEMBL1743261
13409,DB15490,Drug,CHEMBL4105630
13410,DB15491,Drug,CHEMBL2104805
13411,DB15492,Drug,CHEMBL8946
13412,DB15493,Drug,CHEMBL491960
13413,DB15494,"V09IX09,V09IX,V09I,V09,V,Drug",
13414,DB15495,Drug,CHEMBL438139
13415,DB15496,Drug,CHEMBL583207
13416,DB15497,Drug,
13417,DB15498,Drug,CHEMBL3924132
13418,DB15499,Drug,CHEMBL4116008
13419,DB15500,Drug,
13420,DB15501,Drug,
13421,DB15502,Drug,
13422,DB15503,Drug,
13423,DB15504,Drug,
13424,DB15505,Drug,
13425,DB15506,Drug,
13426,DB15507,Drug,
13427,DB15508,Drug,
13428,DB15509,Drug,
13429,DB15510,Drug,
13430,DB15511,Drug,
13431,DB15512,Drug,
13432,DB15513,Drug,
13433,DB15514,Drug,
13434,DB15515,Drug,
13435,DB15516,Drug,
13436,DB15517,Drug,
13437,DB15518,Drug,
13438,DB15519,Drug,
13439,DB15520,Drug,
13440,DB15521,Drug,
13441,DB15522,Drug,
13442,DB15523,Drug,
13443,DB15524,Drug,
13444,DB15525,Drug,
13445,DB15526,Drug,
13446,DB15527,Drug,CHEMBL2107380
13447,DB15528,"M09AX09,M09AX,M09A,M09,M,Drug",
13448,DB15529,Drug,
13449,DB15530,Drug,
13450,DB15531,Drug,
13451,DB15532,Drug,
13452,DB15533,Drug,CHEMBL2106140
13453,DB15534,Drug,CHEMBL323668
13454,DB15535,Drug,
13455,DB15536,Drug,CHEMBL2219605
13456,DB15537,Drug,
13457,DB15538,Drug,
13458,DB15539,Drug,
13459,DB15540,Drug,
13460,DB15541,Drug,
13461,DB15542,Drug,
13462,DB15543,Drug,
13463,DB15544,Drug,
13464,DB15545,Drug,
13465,DB15546,Drug,
13466,DB15547,Drug,
13467,DB15548,Drug,
13468,DB15549,Drug,
13469,DB15550,Drug,CHEMBL2096895
13470,DB15551,Drug,
13471,DB15552,Drug,
13472,DB15553,Drug,
13473,DB15554,Drug,
13474,DB15555,Drug,
13475,DB15556,Drug,
13476,DB15557,Drug,
13477,DB15558,Drug,
13478,DB15559,Drug,
13479,DB15560,Drug,
13480,DB15561,Drug,
13481,DB15562,Drug,
13482,DB15563,Drug,
13483,DB15564,Drug,
13484,DB15565,Drug,CHEMBL2104578
13485,DB15566,Drug,CHEMBL1152
13486,DB15567,Drug,
13487,DB15568,Drug,CHEMBL4594350
13488,DB15569,"L01XX73,L01XX,L01X,L01,L,Drug",CHEMBL4535757
13489,DB15570,Drug,
13490,DB15571,Drug,
13491,DB15572,Drug,
13492,DB15573,Drug,CHEMBL442565
13493,DB15574,Drug,CHEMBL501351
13494,DB15575,"L01XD07,L01XD,L01X,L01,L,Drug",
13495,DB15576,Drug,CHEMBL2251610
13496,DB15578,"G04BD13,G04BD,G04B,G04,G,Drug",CHEMBL3348932
13497,DB15579,Drug,CHEMBL187460
13498,DB15580,Drug,CHEMBL1437764
13499,DB15581,Drug,CHEMBL117
13500,DB15582,Drug,
13501,DB15583,Drug,CHEMBL1164608
13502,DB15584,Drug,CHEMBL151
13503,DB15585,Drug,CHEMBL460258
13504,DB15586,Drug,CHEMBL294018
13505,DB15587,Drug,
13506,DB15588,Drug,CHEMBL169
13507,DB15589,Drug,CHEMBL25894
13508,DB15590,Drug,CHEMBL330498
13509,DB15591,Drug,
13510,DB15592,Drug,
13511,DB15593,"M09AX08,M09AX,M09A,M09,M,Drug",
13512,DB15594,Drug,CHEMBL4173394
13513,DB15595,Drug,
13514,DB15596,Drug,CHEMBL2105961
13515,DB15597,Drug,CHEMBL92915
13516,DB15598,"B03AB10,B03AB,B03A,B03,B,Drug",
13517,DB15599,Drug,
13518,DB15601,Drug,
13519,DB15602,Drug,
13520,DB15603,Drug,
13521,DB15604,Drug,
13522,DB15605,Drug,
13523,DB15606,Drug,
13524,DB15607,Drug,
13525,DB15608,Drug,
13526,DB15609,Drug,
13527,DB15610,Drug,
13528,DB15611,Drug,
13529,DB15612,Drug,
13530,DB15613,Drug,
