,dbID,atcClassification,id
8216,DB09209,"R05DA08,R05DA,R05D,R05,R,Drug",CHEMBL2105224
8217,DB09210,"N06BX03,N06BX,N06B,N06,N,Drug",CHEMBL36715
8218,DB09211,Drug,CHEMBL2107456
8219,DB09212,"M02AA31,M02AA,M02A,M02,M,Drug",CHEMBL19299
8220,DB09213,"M01AE14,M01AE,M01A,M01,M,Drug",CHEMBL175
8221,DB09214,"M02AA27,M02AA,M02A,M02,M,Drug;N02AJ14,N02AJ,N02A,N02,N,Drug;M01AE17,M01AE,M01A,M01,M,Drug",CHEMBL75435
8222,DB09215,"M01AC04,M01AC,M01A,M01,M,Drug",CHEMBL1213420
8223,DB09216,"M01AG02,M01AG,M01A,M01,M,Drug",CHEMBL121626
8224,DB09217,Drug,CHEMBL69998
8225,DB09218,Drug,CHEMBL1332971
8226,DB09219,"A06AB09,A06AB,A06A,A06,A,Drug",
8227,DB09220,"C01DX16,C01DX,C01D,C01,C,Drug",CHEMBL284906
8228,DB09221,Drug,CHEMBL3184454
8229,DB09222,"B02BB01,B02BB,B02B,B02,B,Drug",
8230,DB09223,Drug,CHEMBL178803
8231,DB09224,"N05AD03,N05AD,N05A,N05,N,Drug",CHEMBL1531134
8232,DB09225,"N05AX11,N05AX,N05A,N05,N,Drug",CHEMBL285802
8233,DB09226,Drug,
8234,DB09227,"C08CA12,C08CA,C08C,C08,C,Drug",CHEMBL2103761
8235,DB09228,"B06AC04,B06AC,B06A,B06,B,Drug",
8236,DB09229,Drug,CHEMBL2104030
8237,DB09230,Drug,CHEMBL1275868
8238,DB09231,"C08CA15,C08CA,C08C,C08,C,Drug",CHEMBL2105555
8239,DB09232,"C08CA14,C08CA,C08C,C08,C,Drug",CHEMBL452076
8240,DB09233,Drug,
8241,DB09234,Drug,CHEMBL2104154
8242,DB09235,Drug,CHEMBL2074922
8243,DB09236,"C08CA09,C08CA,C08C,C08,C,Drug",CHEMBL460291
8244,DB09237,"C08CA17,C08CA,C08C,C08,C,Drug",CHEMBL2111097
8245,DB09238,"C08CA11,C08CA,C08C,C08,C,Drug;C09BB12,C09BB,C09B,C09,C,Drug",CHEMBL1085699
8246,DB09239,Drug,CHEMBL405355
8247,DB09240,Drug,CHEMBL2106840
8248,DB09241,"V03AB17,V03AB,V03A,V03,V,Drug;V04CG05,V04CG,V04C,V04,V,Drug",CHEMBL405110
8249,DB09242,"C02AC05,C02AC,C02A,C02,C,Drug;C02LC05,C02LC,C02L,C02,C,Drug",CHEMBL19236
8250,DB09243,Drug,CHEMBL2106246
8251,DB09244,Drug,CHEMBL32350
8252,DB09245,"N06AG03,N06AG,N06A,N06,N,Drug",CHEMBL18116
8253,DB09246,Drug,CHEMBL1877495
8254,DB09247,"N06AF06,N06AF,N06A,N06,N,Drug",CHEMBL91238
8255,DB09248,Drug,CHEMBL1909283
8256,DB09249,Drug,CHEMBL2104528
8257,DB09250,Drug,CHEMBL22498
8258,DB09251,Drug,CHEMBL1909286
8259,DB09252,Drug,CHEMBL2106941
8260,DB09253,Drug,CHEMBL3301845
8261,DB09254,Drug,CHEMBL2104164
8262,DB09255,"B05AA05,B05AA,B05A,B05,B,Drug",
8263,DB09256,"L01BC03,L01BC,L01B,L01,L,Drug;L01BC53,L01BC,L01B,L01,L,Drug",CHEMBL20883
8264,DB09257,Drug,CHEMBL1730601
8265,DB09258,"B01AB12,B01AB,B01A,B01,B,Drug",
8266,DB09259,"B01AB08,B01AB,B01A,B01,B,Drug",
8267,DB09260,"B01AB07,B01AB,B01A,B01,B,Drug",
8268,DB09261,Drug,
8269,DB09262,Drug,CHEMBL53366
8270,DB09263,Drug,CHEMBL2107875
8271,DB09264,"V03AB37,V03AB,V03A,V03,V,Drug",
8272,DB09265,"A10AE54,A10AE,A10A,A10,A,Drug;A10BJ03,A10BJ,A10B,A10,A,Drug",CHEMBL2108336
8273,DB09266,"V09IA09,V09IA,V09I,V09,V,Drug",
8274,DB09267,"M05BX03,M05BX,M05B,M05,M,Drug;M05BX53,M05BX,M05B,M05,M,Drug",CHEMBL3707306
8275,DB09268,"A06AB08,A06AB,A06A,A06,A,Drug;A06AB58,A06AB,A06A,A06,A,Drug",CHEMBL1741134
8276,DB09269,"A16AX30,A16AX,A16A,A16,A,Drug",CHEMBL1044
8277,DB09270,"C01EB09,C01EB,C01E,C01,C,Drug",CHEMBL454801
8278,DB09271,"A03BB05,A03BB,A03B,A03,A,Drug",CHEMBL2110773
8279,DB09272,"A07DA06,A07DA,A07D,A07,A,Drug",CHEMBL2159122
8280,DB09273,"R03DA11,R03DA,R03D,R03,R,Drug",CHEMBL1527608
8281,DB09274,"P01BE03,P01BE,P01B,P01,P,Drug;P01BF09,P01BF,P01B,P01,P,Drug;P01BF02,P01BF,P01B,P01,P,Drug;P01BF03,P01BF,P01B,P01,P,Drug;P01BF06,P01BF,P01B,P01,P,Drug;P01BF04,P01BF,P01B,P01,P,Drug",CHEMBL361497
8282,DB09275,"A02BD08,A02BD,A02B,A02,A,Drug;A02BX05,A02BX,A02B,A02,A,Drug",
8283,DB09276,"M01CB01,M01CB,M01C,M01,M,Drug",
8284,DB09277,Drug,CHEMBL2095207
8285,DB09278,"A07BA51,A07BA,A07B,A07,A,Drug;A07BA01,A07BA,A07B,A07,A,Drug",CHEMBL2106049
8286,DB09279,"C09DA10,C09DA,C09D,C09,C,Drug;C09CA10,C09CA,C09C,C09,C,Drug;C09DB09,C09DB,C09D,C09,C,Drug;C10BX16,C10BX,C10B,C10,C,Drug",CHEMBL1951143
8287,DB09280,"R07AX30,R07AX,R07A,R07,R,Drug",CHEMBL2103870
8288,DB09281,Drug,CHEMBL2096633
8289,DB09282,"C01DX12,C01DX,C01D,C01,C,Drug",CHEMBL1329455
8290,DB09283,"C01DX11,C01DX,C01D,C01,C,Drug",CHEMBL132767
8291,DB09284,"C01DX09,C01DX,C01D,C01,C,Drug",CHEMBL2104282
8292,DB09285,"M01AX22,M01AX,M01A,M01,M,Drug",CHEMBL2105059
8293,DB09286,"N05AD05,N05AD,N05A,N05,N,Drug",CHEMBL440294
8294,DB09287,"A06AD15,A06AD,A06A,A06,A,Drug;A06AD65,A06AD,A06A,A06,A,Drug",CHEMBL1201478
8295,DB09288,"N02BE05,N02BE,N02B,N02,N,Drug",CHEMBL1851805
8296,DB09289,"N06AX14,N06AX,N06A,N06,N,Drug",CHEMBL1289110
8297,DB09290,Drug,CHEMBL1643895
8298,DB09291,"A04AD14,A04AD,A04A,A04,A,Drug",CHEMBL3707331
8299,DB09292,"C09DX04,C09DX,C09D,C09,C,Drug",CHEMBL3137301
8300,DB09293,"V09FX03,V09FX,V09F,V09,V,Drug;V10XA01,V10XA,V10X,V10,V,Drug",CHEMBL1201084
8301,DB09295,Drug,CHEMBL1081506
8302,DB09296,"J05AP53,J05AP,J05A,J05,J,Drug;J05AP52,J05AP,J05A,J05,J,Drug",CHEMBL3127326
8303,DB09297,"J05AP53,J05AP,J05A,J05,J,Drug;J05AP52,J05AP,J05A,J05,J,Drug",CHEMBL3391662
8304,DB09298,"A05BA03,A05BA,A05B,A05,A,Drug",CHEMBL431701
8305,DB09299,"J05AR19,J05AR,J05A,J05,J,Drug;J05AR20,J05AR,J05A,J05,J,Drug;J05AR17,J05AR,J05A,J05,J,Drug;J05AF13,J05AF,J05A,J05,J,Drug;J05AR22,J05AR,J05A,J05,J,Drug;J05AR18,J05AR,J05A,J05,J,Drug",CHEMBL2107825
8306,DB09300,"A03DB04,A03DB,A03D,A03,A,Drug;A03BB01,A03BB,A03B,A03,A,Drug",CHEMBL1618102
8307,DB09301,"M01AX25,M01AX,M01A,M01,M,Drug",
8308,DB09302,"C10AX14,C10AX,C10A,C10,C,Drug",CHEMBL2109540
8309,DB09303,"C10AX13,C10AX,C10A,C10,C,Drug",CHEMBL2364655
8310,DB09304,Drug,CHEMBL2104895
8311,DB09305,Drug,CHEMBL336712
8312,DB09306,Drug,CHEMBL1619017
8313,DB09307,Drug,CHEMBL1213009
8314,DB09308,"J01FA16,J01FA,J01F,J01,J,Drug",CHEMBL1232510
8315,DB09309,Drug,CHEMBL2106399
8316,DB09310,"B02BD11,B02BD,B02B,B02,B,Drug",CHEMBL2108282
8317,DB09311,Drug,
8318,DB09312,"L04AA03,L04AA,L04A,L04,L,Drug",
8319,DB09313,"V08AB03,V08AB,V08A,V08,V,Drug",CHEMBL1201291
8320,DB09314,"V09FX01,V09FX,V09F,V09,V,Drug",CHEMBL2109884
8321,DB09315,"V09EX03,V09EX,V09E,V09,V,Drug",CHEMBL1200685
8322,DB09316,Drug,CHEMBL2110567
8323,DB09317,Drug,CHEMBL1201649
8324,DB09318,Drug,CHEMBL1201467
8325,DB09319,"J01CR50,J01CR,J01C,J01,J,Drug;J01CA05,J01CA,J01C,J01,J,Drug",CHEMBL1596
8326,DB09320,"J01CR50,J01CR,J01C,J01,J,Drug;J01CE09,J01CE,J01C,J01,J,Drug",CHEMBL1628385
8327,DB09321,"C05AX04,C05AX,C05A,C05,C,Drug",CHEMBL1201128
8328,DB09322,"C05AX04,C05AX,C05A,C05,C,Drug;A12CB01,A12CB,A12C,A12,A,Drug;B05XA18,B05XA,B05X,B05,B,Drug",CHEMBL1200929
8329,DB09324,"J01CG01,J01CG,J01C,J01,J,Drug",CHEMBL403
8330,DB09325,"A01AA51,A01AA,A01A,A01,A,Drug;A01AA01,A01AA,A01A,A01,A,Drug;A12CD01,A12CD,A12C,A12,A,Drug",CHEMBL1528
8331,DB09326,Drug,CHEMBL1201189
8332,DB09327,Drug,
8333,DB09328,Drug,
8334,DB09329,Drug,
8335,DB09330,"L01EB04,L01EB,L01E,L01,L,Drug",CHEMBL3353410
8336,DB09331,"L01FC01,L01FC,L01F,L01,L,Drug",CHEMBL1743007
8337,DB09332,Drug,
8338,DB09333,"V08AC08,V08AC,V08A,V08,V,Drug;V08AC10,V08AC,V08A,V08,V,Drug",CHEMBL3306201
8339,DB09334,Drug,CHEMBL1201489
8340,DB09335,Drug,CHEMBL1201197
8341,DB09336,Drug,
8342,DB09337,"V03AN05,V03AN,V03A,V03,V,Drug",
8343,DB09338,"C03BC01,C03BC,C03B,C03,C,Drug",CHEMBL1201330
8344,DB09339,Drug,
8345,DB09340,"V08AC09,V08AC,V08A,V08,V,Drug",CHEMBL1201261
8346,DB09341,Drug,
8347,DB09342,Drug,CHEMBL1195
8348,DB09343,Drug,CHEMBL235668
8349,DB09344,"C05BB03,C05BB,C05B,C05,C,Drug",
8350,DB09345,"D04AB07,D04AB,D04A,D04,D,Drug;C05AD07,C05AD,C05A,C05,C,Drug",CHEMBL1198
8351,DB09346,"V08AA02,V08AA,V08A,V08,V,Drug",CHEMBL1736
8352,DB09347,"V08AA07,V08AA,V08A,V08,V,Drug",CHEMBL1201327
8353,DB09348,Drug,CHEMBL1200627
8354,DB09349,Drug,
8355,DB09350,Drug,CHEMBL1201131
8356,DB09351,Drug,CHEMBL1201274
8357,DB09352,Drug,CHEMBL1546
8358,DB09353,Drug,
8359,DB09355,Drug,CHEMBL1243
8360,DB09356,Drug,
8361,DB09357,"D03AX03,D03AX,D03A,D03,D,Drug;S01XA12,S01XA,S01X,S01,S,Drug;A11HA30,A11HA,A11H,A11,A,Drug",CHEMBL1200979
8362,DB09361,Drug,CHEMBL1200712
8363,DB09363,"C02AA03,C02AA,C02A,C02,C,Drug;C02LA08,C02LA,C02L,C02,C,Drug",
8364,DB09364,Drug,
8365,DB09366,"V08AD03,V08AD,V08A,V08,V,Drug",CHEMBL1200821
8366,DB09369,"L02AA02,L02AA,L02A,L02,L,Drug",CHEMBL1201477
8367,DB09370,"V10XX01,V10XX,V10X,V10,V,Drug",CHEMBL2107525
8368,DB09371,"G03FA09,G03FA,G03F,G03,G,Drug",CHEMBL1387
8369,DB09372,Drug,
8370,DB09373,Drug,
8371,DB09374,Drug,CHEMBL1615807
8372,DB09375,"S01KX01,S01KX,S01K,S01,S,Drug;B06AA04,B06AA,B06A,B06,B,Drug",CHEMBL1201465
8373,DB09376,Drug,CHEMBL1201786
8374,DB09377,Drug,
8375,DB09378,Drug,CHEMBL1200774
8376,DB09379,Drug,
8377,DB09380,Drug,
8378,DB09381,Drug,
8379,DB09382,"V09CX02,V09CX,V09C,V09,V,Drug",CHEMBL1200763
8380,DB09383,"H02AB15,H02AB,H02A,H02,H,Drug",CHEMBL1201148
8381,DB09385,Drug,
8382,DB09387,Drug,
8383,DB09388,Drug,
8384,DB09389,"G03FA10,G03FA,G03F,G03,G,Drug;G03FB01,G03FB,G03F,G03,G,Drug;G03AA06,G03AA,G03A,G03,G,Drug",CHEMBL2107797
8385,DB09393,"B05BA01,B05BA,B05B,B05,B,Drug",
8386,DB09394,Drug,CHEMBL1187
8387,DB09395,"B05XA08,B05XA,B05X,B05,B,Drug",CHEMBL1354
8388,DB09397,"V09DB05,V09DB,V09D,V09,V,Drug",CHEMBL1201529
8389,DB09398,"V09IX06,V09IX,V09I,V09,V,Drug",CHEMBL1248
8390,DB09400,Drug,CHEMBL1201054
8391,DB09401,Drug,CHEMBL1200660
8392,DB09403,"V08AC07,V08AC,V08A,V08,V,Drug",CHEMBL1200770
8393,DB09406,Drug,
8394,DB09407,"A12CC01,A12CC,A12C,A12,A,Drug;B05XA11,B05XA,B05X,B05,B,Drug",CHEMBL2219642
8395,DB09409,Drug,CHEMBL3989858
8396,DB09411,Drug,
8397,DB09413,Drug,CHEMBL1200925
8398,DB09414,Drug,CHEMBL1200459
8399,DB09415,Drug,CHEMBL1200570
8400,DB09418,"H03BC01,H03BC,H03B,H03,H,Drug",CHEMBL1200696
8401,DB09419,Drug,CHEMBL1236821
8402,DB09420,"V09FX02,V09FX,V09F,V09,V,Drug",CHEMBL1249
8403,DB09421,"V04CJ02,V04CJ,V04C,V04,V,Drug",CHEMBL1472
8404,DB09422,Drug,
8405,DB09423,Drug,
8406,DB09425,"V09AX01,V09AX,V09A,V09,V,Drug",
8407,DB09429,Drug,
8408,DB09430,Drug,
8409,DB09436,"V09CA02,V09CA,V09C,V09,V,Drug",
8410,DB09443,"V09EX01,V09EX,V09E,V09,V,Drug",CHEMBL1201096
8411,DB09446,Drug,
8412,DB09447,Drug,
8413,DB09448,"V09CX01,V09CX,V09C,V09,V,Drug",CHEMBL1200439
8414,DB09449,"A06AG01,A06AG,A06A,A06,A,Drug;V03AG05,V03AG,V03A,V03,V,Drug;A06AD17,A06AD,A06A,A06,A,Drug;B05XA09,B05XA,B05X,B05,B,Drug",CHEMBL1368
8415,DB09456,"A10AD02,A10AD,A10A,A10,A,Drug;A10AC02,A10AC,A10A,A10,A,Drug;A10AE02,A10AE,A10A,A10,A,Drug;A10AB02,A10AB,A10A,A10,A,Drug",
8416,DB09459,Drug,CHEMBL1236315
8417,DB09460,Drug,CHEMBL186314
8418,DB09461,Drug,CHEMBL1200673
8419,DB09462,"A06AX01,A06AX,A06A,A06,A,Drug;A06AG04,A06AG,A06A,A06,A,Drug",CHEMBL692
8420,DB09472,"A06AD13,A06AD,A06A,A06,A,Drug;A12CA02,A12CA,A12C,A12,A,Drug",CHEMBL233406
8421,DB09473,Drug,
8422,DB09477,Drug,CHEMBL577
8423,DB09479,Drug,CHEMBL1200727
8424,DB09480,"V09AB01,V09AB,V09A,V09,V,Drug",
8425,DB09481,"A02AA01,A02AA,A02A,A02,A,Drug;V03AE04,V03AE,V03A,V03,V,Drug;A06AD01,A06AD,A06A,A06,A,Drug",CHEMBL1200736
8426,DB09483,"B05XA15,B05XA,B05X,B05,B,Drug",CHEMBL1200664
8427,DB09484,"A12CD02,A12CD,A12C,A12,A,Drug;A01AA02,A01AA,A01A,A01,A,Drug",CHEMBL1908359
8428,DB09487,"V08AB06,V08AB,V08A,V08,V,Drug",CHEMBL1200555
8429,DB09488,"R06AX18,R06AX,R06A,R06,R,Drug",CHEMBL1224
8430,DB09490,Drug,
8431,DB09493,Drug,
8432,DB09494,Drug,CHEMBL706
8433,DB09495,Drug,CHEMBL1200522
8434,DB09496,"D02BA02,D02BA,D02B,D02,D,Drug",CHEMBL1200608
8435,DB09498,"V10BX01,V10BX,V10B,V10,V,Drug",CHEMBL1200625
8436,DB09499,Drug,CHEMBL1208642
8437,DB09501,"V08CA07,V08CA,V08C,V08,V,Drug",
8438,DB09502,"V09IX04,V09IX,V09I,V09,V,Drug",CHEMBL1808698
8439,DB09507,"V08CB01,V08CB,V08C,V08,V,Drug",
8440,DB09508,Drug,
8441,DB09510,"V04CX05,V04CX,V04C,V04,V,Drug",CHEMBL2096648
8442,DB09511,Drug,
8443,DB09512,Drug,CHEMBL1200838
8444,DB09513,Drug,CHEMBL2096635
8445,DB09516,"D11AX06,D11AX,D11A,D11,D,Drug",CHEMBL544
8446,DB09517,Drug,
8447,DB09526,"D11AX11,D11AX,D11A,D11,D,Drug",CHEMBL537
8448,DB09527,Drug,
8449,DB09531,Drug,CHEMBL1200607
8450,DB09532,"V04CK01,V04CK,V04C,V04,V,Drug",CHEMBL3039582
8451,DB09534,Drug,CHEMBL3989850
8452,DB09535,Drug,CHEMBL1201147
8453,DB09536,Drug,
8454,DB09537,Drug,
8455,DB09539,Drug,
8456,DB09543,Drug,CHEMBL108545
8457,DB09546,Drug,CHEMBL3989523
8458,DB09550,Drug,
8459,DB09551,"B06AA02,B06AA,B06A,B06,B,Drug;B06AA10,B06AA,B06A,B06,B,Drug",
8460,DB09552,Drug,CHEMBL1201322
8461,DB09555,Drug,CHEMBL1200927
8462,DB09559,"L01FE03,L01FE,L01F,L01,L,Drug",
8463,DB09561,"B05XA14,B05XA,B05X,B05,B,Drug",CHEMBL3040581
8464,DB09563,Drug,
8465,DB09564,"A10AD06,A10AD,A10A,A10,A,Drug;A10AE56,A10AE,A10A,A10,A,Drug;A10AE06,A10AE,A10A,A10,A,Drug",CHEMBL2107869
8466,DB09567,Drug,
8467,DB09568,Drug,
8468,DB09570,"L01XG03,L01XG,L01X,L01,L,Drug",CHEMBL2141296
8469,DB09571,Drug,CHEMBL1927030
8470,DB09876,Drug,
8471,DB09877,Drug,
8472,DB10061,Drug,
8473,DB10062,"J06AA06,J06AA,J06A,J06,J,Drug",
8474,DB10076,Drug,
8475,DB10276,"J07BH01,J07BH,J07B,J07,J,Drug",
8476,DB10283,"J06AA06,J06AA,J06A,J06,J,Drug",
8477,DB10284,Drug,
8478,DB10285,Drug,
8479,DB10286,Drug,
8480,DB10287,Drug,
8481,DB10288,Drug,
8482,DB10289,Drug,
8483,DB10290,Drug,
8484,DB10291,Drug,
8485,DB10292,Drug,
8486,DB10293,Drug,
8487,DB10294,Drug,
8488,DB10295,Drug,
8489,DB10296,Drug,
8490,DB10297,Drug,
8491,DB10298,Drug,
8492,DB10299,Drug,
8493,DB10300,Drug,
8494,DB10301,Drug,
8495,DB10302,Drug,
8496,DB10310,Drug,
8497,DB10311,Drug,
8498,DB10312,Drug,
8499,DB10313,Drug,
8500,DB10314,Drug,
8501,DB10315,Drug,
8502,DB10316,Drug,
8503,DB10317,"J07BD53,J07BD,J07B,J07,J,Drug;J07BD54,J07BD,J07B,J07,J,Drug;J07BD52,J07BD,J07B,J07,J,Drug;J07BJ01,J07BJ,J07B,J07,J,Drug;J07BJ51,J07BJ,J07B,J07,J,Drug;J07BD51,J07BD,J07B,J07,J,Drug",
8504,DB10318,Drug,
8505,DB10319,Drug,
8506,DB10320,Drug,
8507,DB10321,Drug,
8508,DB10322,Drug,
8509,DB10323,Drug,
8510,DB10324,Drug,
8511,DB10325,Drug,
8512,DB10326,Drug,
8513,DB10327,Drug,
8514,DB10328,Drug,
8515,DB10329,Drug,
8516,DB10330,Drug,
8517,DB10331,Drug,
8518,DB10332,Drug,
8519,DB10333,Drug,
8520,DB10334,Drug,
8521,DB10335,Drug,
8522,DB10336,Drug,
8523,DB10337,Drug,
8524,DB10338,Drug,
8525,DB10339,Drug,
8526,DB10340,Drug,
8527,DB10341,Drug,
8528,DB10342,Drug,
8529,DB10343,Drug,
8530,DB10344,Drug,
8531,DB10345,Drug,
8532,DB10346,Drug,
8533,DB10348,Drug,
8534,DB10349,Drug,
8535,DB10350,Drug,
8536,DB10351,Drug,
8537,DB10352,Drug,
8538,DB10353,Drug,
8539,DB10354,Drug,
8540,DB10355,Drug,
8541,DB10356,Drug,
8542,DB10357,Drug,
8543,DB10359,Drug,
8544,DB10360,Drug,
8545,DB10361,Drug,
8546,DB10362,Drug,
8547,DB10363,Drug,
8548,DB10364,Drug,
8549,DB10365,Drug,
8550,DB10366,Drug,
8551,DB10368,Drug,
8552,DB10369,Drug,
8553,DB10370,Drug,
8554,DB10371,Drug,
8555,DB10372,Drug,
8556,DB10373,Drug,
8557,DB10374,Drug,
8558,DB10375,Drug,
8559,DB10376,Drug,
8560,DB10377,Drug,
8561,DB10378,Drug,
8562,DB10379,Drug,
8563,DB10380,Drug,
8564,DB10381,Drug,
8565,DB10382,Drug,
8566,DB10383,Drug,
8567,DB10384,Drug,
8568,DB10385,Drug,
8569,DB10386,Drug,
8570,DB10387,Drug,
8571,DB10388,Drug,
8572,DB10389,Drug,
8573,DB10390,Drug,
8574,DB10391,Drug,
8575,DB10392,Drug,
8576,DB10393,Drug,
8577,DB10394,Drug,
8578,DB10395,Drug,
8579,DB10396,Drug,
8580,DB10397,Drug,
8581,DB10398,Drug,
8582,DB10399,Drug,
8583,DB10400,"V01AA03,V01AA,V01A,V01,V,Drug",
8584,DB10401,"V01AA03,V01AA,V01A,V01,V,Drug",
8585,DB10403,Drug,
8586,DB10404,Drug,
8587,DB10406,Drug,
8588,DB10408,Drug,
8589,DB10409,Drug,
8590,DB10410,Drug,
8591,DB10411,Drug,
8592,DB10412,Drug,
8593,DB10413,Drug,
8594,DB10415,Drug,
8595,DB10416,Drug,
8596,DB10417,Drug,
8597,DB10418,Drug,
8598,DB10419,Drug,
8599,DB10420,Drug,
8600,DB10421,Drug,
8601,DB10422,Drug,
8602,DB10423,Drug,
8603,DB10424,Drug,
8604,DB10425,Drug,
8605,DB10426,Drug,
8606,DB10427,Drug,
8607,DB10428,Drug,
8608,DB10429,Drug,
8609,DB10430,Drug,
8610,DB10431,Drug,
8611,DB10432,Drug,
8612,DB10433,Drug,
8613,DB10434,Drug,
8614,DB10435,Drug,
8615,DB10436,Drug,
8616,DB10437,Drug,
8617,DB10438,Drug,
8618,DB10439,Drug,
8619,DB10440,Drug,
8620,DB10441,Drug,
8621,DB10442,Drug,
8622,DB10443,Drug,
8623,DB10444,Drug,
8624,DB10445,Drug,
8625,DB10446,Drug,
8626,DB10447,Drug,
8627,DB10448,Drug,
8628,DB10449,Drug,
8629,DB10450,Drug,
8630,DB10451,Drug,
8631,DB10452,Drug,
8632,DB10453,Drug,
8633,DB10454,Drug,
8634,DB10455,Drug,
8635,DB10456,Drug,
8636,DB10457,Drug,
8637,DB10458,Drug,
8638,DB10459,Drug,
8639,DB10460,Drug,
8640,DB10461,Drug,
8641,DB10462,Drug,
8642,DB10463,Drug,
8643,DB10464,Drug,
8644,DB10465,Drug,
8645,DB10466,Drug,
8646,DB10467,Drug,
8647,DB10468,Drug,
8648,DB10469,Drug,
8649,DB10470,Drug,
8650,DB10471,Drug,
8651,DB10472,Drug,
8652,DB10473,Drug,
8653,DB10474,Drug,
8654,DB10475,Drug,
8655,DB10478,Drug,
8656,DB10479,Drug,
8657,DB10480,Drug,
8658,DB10481,Drug,
8659,DB10482,Drug,
8660,DB10483,Drug,
8661,DB10484,Drug,
8662,DB10485,Drug,
8663,DB10486,Drug,
8664,DB10487,Drug,
8665,DB10488,Drug,
8666,DB10489,Drug,
8667,DB10490,Drug,
8668,DB10491,Drug,
8669,DB10493,Drug,
8670,DB10494,Drug,
8671,DB10495,Drug,
8672,DB10496,Drug,
8673,DB10497,Drug,
8674,DB10498,Drug,
8675,DB10499,Drug,
8676,DB10500,Drug,
8677,DB10501,Drug,
8678,DB10502,Drug,
8679,DB10503,Drug,
8680,DB10504,Drug,
8681,DB10505,Drug,
8682,DB10506,Drug,
8683,DB10508,Drug,
8684,DB10509,Drug,
8685,DB10510,Drug,
8686,DB10511,Drug,
8687,DB10512,Drug,
8688,DB10513,Drug,
8689,DB10514,Drug,
8690,DB10515,Drug,
8691,DB10516,Drug,
8692,DB10517,Drug,
8693,DB10518,Drug,
8694,DB10519,Drug,
8695,DB10520,Drug,
8696,DB10523,Drug,
8697,DB10525,Drug,
8698,DB10526,Drug,
8699,DB10527,Drug,
8700,DB10528,Drug,
8701,DB10529,Drug,
8702,DB10530,Drug,
8703,DB10531,Drug,
8704,DB10532,Drug,
8705,DB10533,Drug,
8706,DB10534,Drug,
8707,DB10535,"A06AC03,A06AC,A06A,A06,A,Drug;A06AC53,A06AC,A06A,A06,A,Drug",
8708,DB10536,Drug,
8709,DB10537,Drug,
8710,DB10538,Drug,
8711,DB10539,Drug,
8712,DB10540,Drug,
8713,DB10541,Drug,
8714,DB10542,Drug,
8715,DB10543,Drug,
8716,DB10544,Drug,
8717,DB10545,Drug,
8718,DB10546,Drug,
8719,DB10547,Drug,
8720,DB10548,Drug,
8721,DB10549,Drug,
8722,DB10550,Drug,
8723,DB10551,Drug,
8724,DB10552,Drug,
8725,DB10553,Drug,
8726,DB10554,Drug,
8727,DB10555,Drug,
8728,DB10556,Drug,
8729,DB10557,Drug,
8730,DB10558,Drug,
8731,DB10559,Drug,
8732,DB10560,Drug,
8733,DB10561,Drug,
8734,DB10562,Drug,
8735,DB10563,Drug,
8736,DB10564,Drug,
8737,DB10566,Drug,
8738,DB10567,Drug,
8739,DB10568,Drug,
8740,DB10569,Drug,
8741,DB10570,Drug,
8742,DB10571,Drug,
8743,DB10572,Drug,
8744,DB10573,Drug,
8745,DB10574,Drug,
8746,DB10575,Drug,
8747,DB10576,Drug,
8748,DB10577,Drug,
8749,DB10578,Drug,
8750,DB10579,Drug,
8751,DB10580,Drug,
8752,DB10581,Drug,
8753,DB10582,Drug,
8754,DB10583,"J07AM51,J07AM,J07A,J07,J,Drug;J07AM01,J07AM,J07A,J07,J,Drug;J07AM52,J07AM,J07A,J07,J,Drug",
8755,DB10584,"J07AF01,J07AF,J07A,J07,J,Drug",
8756,DB10596,Drug,
8757,DB10597,Drug,
8758,DB10598,Drug,
8759,DB10599,Drug,
8760,DB10600,Drug,
8761,DB10601,Drug,
8762,DB10602,Drug,
8763,DB10603,Drug,
8764,DB10604,Drug,
8765,DB10605,Drug,
8766,DB10606,Drug,
8767,DB10607,Drug,
8768,DB10608,Drug,
8769,DB10609,Drug,
8770,DB10610,Drug,
8771,DB10611,Drug,
8772,DB10612,Drug,
8773,DB10613,Drug,
8774,DB10614,Drug,
8775,DB10615,Drug,
8776,DB10616,Drug,
8777,DB10617,Drug,
8778,DB10618,Drug,
8779,DB10619,Drug,
8780,DB10620,Drug,
8781,DB10621,Drug,
8782,DB10622,Drug,
8783,DB10623,Drug,
8784,DB10624,Drug,
8785,DB10625,Drug,
8786,DB10626,Drug,
8787,DB10627,Drug,
8788,DB10628,Drug,
8789,DB10629,Drug,
8790,DB10630,Drug,
8791,DB10631,Drug,
8792,DB10632,Drug,
8793,DB10633,Drug,
8794,DB10634,Drug,
8795,DB10635,Drug,
8796,DB10636,Drug,
8797,DB10637,Drug,
8798,DB10638,Drug,
8799,DB10639,Drug,
8800,DB10640,Drug,
8801,DB10641,Drug,
8802,DB10642,Drug,
8803,DB10643,Drug,
8804,DB10644,Drug,
8805,DB10645,Drug,
8806,DB10646,Drug,
8807,DB10647,Drug,
8808,DB10648,Drug,
8809,DB10650,Drug,
8810,DB10651,Drug,
8811,DB10652,Drug,
8812,DB10653,Drug,
8813,DB10654,Drug,
8814,DB10655,Drug,
8815,DB10656,Drug,
8816,DB10657,Drug,
8817,DB10658,Drug,
8818,DB10659,Drug,
