cid	chembl_id	smiles	InChI Key
102011	CHEMBL2105993	CC(=O)[C@@]12OC(C)(c3ccccc3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C	AHBKIEXBQNRDNL-BXXPAUNWSA-N
2296132	CHEMBL2151790	CCCCOc1ccc(C(=O)Nc2ccc(F)cc2F)cc1	AHCYOTLTLQTPSU-UHFFFAOYSA-N
10453870	CHEMBL2018096	OC[C@H]1O[C@@H](c2ccc(F)c(Cc3cc4ccccc4s3)c2)[C@H](O)[C@@H](O)[C@@H]1O	AHFWIQIYAXSLBA-RQXATKFSSA-N
44828492	CHEMBL1553629	CCc1c(C(=O)NCCc2ccc(N3CCCCC3)cc2)[nH]c2ccc(Cl)cc12	AHFZDNYNXFMRFQ-UHFFFAOYSA-N
5330286	CHEMBL189963	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	AHJRHEGDXFFMBM-UHFFFAOYSA-N
65630	CHEMBL121932	O=C(OC1CN2CCC1CC2)c1ccccc1	AHKAOMZZTQULDS-UHFFFAOYSA-N
6710691	CHEMBL3039371	CCCCCCCCCCC[C@@H](C[C@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H](CC(C)C)NC=O	AHLBNYSZXLDEJQ-GWMMUDDPSA-N
389	CHEMBL2009502	NCCCC(N)C(=O)O	AHLPHDHHMVZTML-UHFFFAOYSA-N
43815	CHEMBL490	Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	AHOUBRCZNHFOSL-YOEHRIQHSA-N
25171648	CHEMBL3402762	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	AHYMHWXQRWRBKT-UHFFFAOYSA-N
114917	CHEMBL363535	Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12	AIGAZQPHXLWMOJ-UHFFFAOYSA-N
68165256	CHEMBL3545311	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1	AILRADAXUVEEIR-UHFFFAOYSA-N
72281	CHEMBL399121	COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O	AIONOLUJZLIMTK-AWEZNQCLSA-N
4633677	CHEMBL210858	COC(=O)CC1CC(c2ccc(O)cc2)=NO1	AIXMJTYHQHQJLU-UHFFFAOYSA-N
4302962	CHEMBL476833	Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1	AJFFBPZYXRNAIC-UHFFFAOYSA-N
3177	CHEMBL42485	CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1	AJFTZWGGHJXZOB-UHFFFAOYSA-N
27125	CHEMBL1230314	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O	AJIPIJNNOJSSQC-NYLIRDPKSA-N
29566	CHEMBL2105420	O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1	AJKIRUJIDFJUKJ-UHFFFAOYSA-N
5702286		CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)C(CCC3C[C@@H](O)CC(=O)O3)[C@H]21	AJLFOPYRIVGYMJ-JGKZIMKKSA-N
53646194	CHEMBL4303656	COC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)CC(C)C	AJMOLNFDYWTVQW-MNOVXSKESA-N
24753719	CHEMBL2170177	COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1	AJRGHIGYPXNABY-UHFFFAOYSA-N
6476	CHEMBL697	CN1C(=O)CC(C)(c2ccccc2)C1=O	AJXPJJZHWIXJCJ-UHFFFAOYSA-N
49836027	CHEMBL1256459	CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1	AKCRNFFTGXBONI-UHFFFAOYSA-N
17759482	CHEMBL4303156	CCOC(=O)c1ccc(-c2ccc(OC(=O)N(C)Cc3cccc(-c4ccncc4)c3)cc2)cc1	AKIIPHDGVCFVCC-UHFFFAOYSA-N
5288209	CHEMBL7301	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1	AKJHMTWEGVYYSE-FXILSDISSA-N
6604926	CHEMBL291536	Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1	AKMNUCBQGHFICM-UHFFFAOYSA-N
31411	CHEMBL1403892	COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C	AKNNEGZIBPJZJG-QZTJIDSGSA-N
44139710	CHEMBL502124	CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1	AKSIZPIFQAYJGF-UHFFFAOYSA-N
45006158	CHEMBL4303290	CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	AKUJBENLRBOFTD-DKNQJTFPSA-N
5702036	CHEMBL3039356	CC(=O)OCC(=O)[C@@]1(O)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	AKUJBENLRBOFTD-HIBZCRSPSA-N
184644	CHEMBL181276	C[C@@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O	AKWRNBWMGFUAMF-ZESMOPTKSA-N
6324643		C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2/C(=N/NC(=O)c2ccccc2)CC[C@@]3(O)[C@H]1C5	AKXCFAYOTIEFOH-XTNAHFASSA-N
121926	CHEMBL10947	CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC	ALBKMJDFBZVHAK-UHFFFAOYSA-N
134778	CHEMBL1593717	NC(=O)CCCCn1ccc(/N=C(\N)NCC(F)(F)F)n1	ALCSGJCIESECFD-UHFFFAOYSA-N
5702068	CHEMBL306147	CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C	ALEXXDVDDISNDU-KPYZGQEZSA-N
4284720	CHEMBL1255834	CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12	ALFGDCNSEBJYSP-UHFFFAOYSA-N
71543365	CHEMBL3781751	NC1CCC(N[C@@H]2C[C@H]2c2ccccc2)CC1	ALHBJBCQLJZYON-PFSRBDOWSA-N
59757974	CHEMBL3545085	CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1	ALKJNCZNEOTEMP-UHFFFAOYSA-N
5042	CHEMBL1697771	O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	ALLWOAVDORUJLA-UHFFFAOYSA-N
60753	CHEMBL533	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1	ALOBUEHUHMBRLE-UHFFFAOYSA-N
31762	CHEMBL293950	CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1	ALSKYCOJJPXPFS-BBRMVZONSA-N
4456	CHEMBL278020	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	ALWKGYPQUAPLQC-UHFFFAOYSA-N
4876	CHEMBL1762658	Nc1ccc(C(=O)[O-])cc1	ALYNCZNDIQEVRV-UHFFFAOYSA-M
3803	CHEMBL149518	COc1oc(=O)c2cc(N)ccc2c1Cl	AMDGKLWVCUXONP-UHFFFAOYSA-N
9870652	CHEMBL1951143	CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	AMEROGPZOLAFBN-UHFFFAOYSA-N
2896	CHEMBL179900	N=C1NCCN1CC(=O)O	AMHZIUVRYRVYBA-UHFFFAOYSA-N
4440	CHEMBL1278	CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1	AMKVXSZCKVJAGH-UHFFFAOYSA-N
